Season;Date;HomeTeam;AwayTeam;Score;FTHG;FTAG;Odds_1;Odds_x;Odds_2;Explore_id;FTR
Elitserien 2010/2011;20/02/2011;Aranas;Skovde;37:31;37;31;;;;Cxz2dpEE;H
Elitserien 2010/2011;20/02/2011;Ystads IF;Kristianstad;26:23;26;23;;;;GQO7YtM7;H
Elitserien 2009/2010;24/02/2010;Hammarby;Ystads IF;37:29;37;29;1.73;9.44;2.39;x81qWJeB;H
Elitserien 2009/2010;24/02/2010;Helsingborg;Alingsas;24:30;24;30;4.31;11.57;1.28;SdfdTHuU;A
Elitserien 2009/2010;24/02/2010;Lund;Malmo;28:27;28;27;1.63;9.78;2.58;favXWat5;H
Elitserien 2009/2010;24/02/2010;Savehof;Lugi;30:29;30;29;1.26;11.75;4.41;YZfhUcQN;H
Elitserien 2009/2010;23/02/2010;Skovde;Lindesberg;30:26;30;26;1.39;10.15;3.52;AulFmLQo;H
Elitserien 2009/2010;21/02/2010;Kristianstad;Helsingborg;31:26;31;26;1.46;10.40;3.08;KSWKZ1dn;H
Elitserien 2009/2010;19/02/2010;Lugi;Skovde;27:21;27;21;1.61;9.49;2.68;QoT2FbBU;H
Elitserien 2009/2010;18/02/2010;Alingsas;Savehof;22:24;22;24;1.80;9.39;2.26;neUbGvdO;A
Elitserien 2009/2010;17/02/2010;Drott;Hammarby;27:23;27;23;1.67;9.36;2.50;zmoRpJA4;H
Elitserien 2008/2009;08/02/2009;Lugi;Ystads IF;28:28;28;28;2.01;8.45;2.01;rJj281CI;D
Elitserien 2008/2009;08/02/2009;Alingsas;Drott;30:23;30;23;1.14;13.81;6.06;jatyA3Sa;H
Elitserien 2008/2009;08/02/2009;Guif;Tumba;39:22;39;22;1.04;16.31;11.83;A5hfANs6;H
Elitserien 2008/2009;08/02/2009;Lindesberg;Hammarby;25:24;25;24;2.31;9.51;1.76;ldib9scC;H
Elitserien 2008/2009;07/02/2009;Skovde;Trelleborg;40:25;40;25;1.16;12.72;5.62;SQEnWHO9;H
Elitserien 2008/2009;04/02/2009;Trelleborg;IFK Ystads;32:23;32;23;1.29;11.87;4.04;IPYbeZIn;H
Elitserien 2008/2009;04/02/2009;Ystads IF;Savehof;27:23;27;23;2.43;9.98;1.68;EJrArDma;H
Elitserien 2008/2009;04/02/2009;Drott;Lugi;19:27;19;27;2.37;9.43;1.73;O2ZfdF3t;A
