,favorite,predicted,winner,odds_1,odds_x,odds_2,prob_1,prob_x,prob_2
275,Home,Home,Away,1.97,8.09,2.19,0.47269850969314575,0.1346958726644516,0.39260563254356384
276,Home,Home,Away,1.49,9.67,3.06,0.6211821436882019,0.08851226419210434,0.29030561447143555
277,Home,Home,Home,1.22,11.34,5.58,0.819429337978363,0.05328486114740372,0.12728577852249146
278,Home,Home,Home,1.3,11.27,4.11,0.7404866218566895,0.05929508060216904,0.2002183049917221
279,Home,Home,Draw,1.48,10.15,3.11,0.6321357488632202,0.07847072184085846,0.2893935441970825
280,Home,Home,Home,1.67,9.1,2.52,0.547134518623352,0.10156581550836563,0.3512997329235077
281,Home,Home,Home,1.49,10.14,3.02,0.622974157333374,0.07825152575969696,0.2987743020057678
282,Home,Home,Away,1.26,11.62,4.63,0.7808498740196228,0.054066937416791916,0.1650831550359726
283,Away,Away,Away,2.57,8.41,1.74,0.3770163357257843,0.13237205147743225,0.49061161279678345
284,Home,Home,Home,1.58,9.61,2.82,0.5901341438293457,0.09013262391090393,0.319733202457428
285,Home,Home,Home,1.09,15.92,8.76,0.9341049194335938,0.011292558163404465,0.05460244044661522
286,Away,Away,Away,2.22,8.73,1.87,0.4260672926902771,0.1161293238401413,0.4578033983707428
