,favorite,predicted,winner,odds_1,odds_x,odds_2,prob_1,prob_x,prob_2
29,Home,Home,Home,1.19,12.03,5.91,0.8416451215744019,0.043175578117370605,0.11517934501171112
30,Away,Away,Away,2.66,8.4,1.69,0.3640356957912445,0.13386398553848267,0.5021002888679504
31,Home,Home,Home,1.78,9.21,2.33,0.5193425416946411,0.0993112325668335,0.381346195936203
32,Away,Away,Draw,5.69,12.22,1.2,0.18028831481933594,0.06891494989395142,0.7507966756820679
33,Away,Home,Away,2.07,8.53,1.97,0.4480481445789337,0.11983925104141235,0.4321126639842987
34,Home,Home,Home,1.73,9.44,2.39,0.5326394438743591,0.09322872012853622,0.37413179874420166
35,Home,Home,Draw,1.14,14.06,7.31,0.8985188603401184,0.021921005100011826,0.07956015318632126
36,Home,Home,Home,1.54,10.16,2.77,0.5951674580574036,0.07702692598104477,0.3278055787086487
37,Home,Home,Home,1.38,11.51,3.47,0.6853713989257812,0.05510595813393593,0.2595226466655731
38,Away,Away,Away,2.29,8.81,1.81,0.414390504360199,0.11443642526865005,0.47117313742637634
39,Home,Home,Home,1.04,16.79,13.43,0.9646647572517395,0.003849291941151023,0.03148592263460159
40,Home,Home,Home,1.29,11.62,4.18,0.7491923570632935,0.05401364341378212,0.19679394364356995
41,Home,Home,Home,1.08,13.33,8.68,0.9095239043235779,0.021167967468500137,0.0693080872297287
42,Home,Home,Home,1.67,9.36,2.5,0.5483129024505615,0.09491658955812454,0.35677048563957214
43,Home,Home,Home,1.55,9.5,2.93,0.6017329692840576,0.09290089458227158,0.3053661286830902
44,Home,Home,Home,1.12,14.54,6.9,0.8981362581253052,0.020562849938869476,0.08130088448524475
45,Home,Home,Home,1.07,17.7,11.53,0.9638773202896118,0.0050699603743851185,0.031052710488438606
46,Home,Home,Draw,1.82,9.16,2.24,0.5060722827911377,0.10035843402147293,0.39356932044029236
47,Home,Home,Home,1.26,11.46,4.74,0.7860103845596313,0.05651221051812172,0.15747740864753723
48,Home,Home,Away,1.17,10.99,5.71,0.8174386620521545,0.05503495782613754,0.12752631306648254
49,Away,Away,Away,7.31,12.85,1.15,0.13971738517284393,0.0693548172712326,0.7909277081489563
50,Away,Away,Home,2.21,8.79,1.84,0.4248041808605194,0.11356014758348465,0.46163567900657654
51,Away,Away,Away,3.9,9.74,1.38,0.2712627947330475,0.10848639160394669,0.6202508211135864
52,Away,Away,Away,2.73,9.52,1.55,0.3544791340827942,0.09987149387598038,0.5456493496894836
53,Away,Away,Away,5.98,10.99,1.16,0.18259459733963013,0.09660087525844574,0.7208045125007629
54,Home,Home,Away,1.64,8.99,2.71,0.5663029551506042,0.10583806037902832,0.32785895466804504
55,Home,Home,Away,1.96,8.56,2.14,0.47544506192207336,0.11894557625055313,0.4056093394756317
56,Home,Home,Away,1.6,9.35,2.75,0.5785849690437317,0.09606369584798813,0.32535138726234436
57,Away,Away,Home,2.41,8.55,1.77,0.3964111804962158,0.12436407059431076,0.47922471165657043
58,Home,Home,Home,1.2,12.61,5.34,0.830643355846405,0.04013257846236229,0.12922410666942596
59,Away,Away,Draw,13.64,18.09,1.05,0.0487225279211998,0.027648525312542915,0.9236289858818054
60,Home,Home,Home,1.12,13.85,7.87,0.9045945405960083,0.02099832147359848,0.0744071677327156
61,Home,Home,Draw,1.94,8.6,2.05,0.469381183385849,0.1156231164932251,0.4149957597255707
62,Home,Home,Away,1.57,9.86,2.72,0.5845158696174622,0.08343299478292465,0.3320510685443878
63,Home,Home,Away,1.38,9.57,3.78,0.6887224316596985,0.09251085668802261,0.21876674890518188
64,Away,Away,Away,4.25,10.83,1.3,0.24591290950775146,0.0848880484700203,0.6691990494728088
65,Home,Home,Away,1.61,9.76,2.66,0.5738763809204102,0.08598457276821136,0.3401390612125397
